Institution Name,City,State,ZIP Code,Cluster,In-State Tuition,Out-of-State Tuition,Total Cost ($),% Receiving Pell Grants,% Receiving Federal Loans,Graduation Rate (4-Year),3-Year Default Rate,Latitude,Longitude
Alabama A & M University,Normal,AL,35762,"High-Risk, High-Aid Institutions",10024.0,18634.0,23751.0,0.6441,0.5859,0.2874,0.0,,
University of Alabama at Birmingham,Birmingham,AL,35294,"Middle-Tier, Mixed-Aid Institutions",8832.0,21864.0,27826.0,0.3318,0.4097,0.626,0.0,,
University of Alabama in Huntsville,Huntsville,AL,35899,"Middle-Tier, Mixed-Aid Institutions",11770.0,24662.0,27098.0,0.225,0.3391,0.6191,0.0,,
Alabama State University,Montgomery,AL,36104,"High-Risk, High-Aid Institutions",11248.0,19576.0,22028.0,0.7203,0.7776,0.3018,0.0,32.39889,-86.31593
The University of Alabama,Tuscaloosa,AL,35487,"Elite, Low-Aid Institutions",11900.0,33200.0,32024.0,0.1799,0.3358,0.7369,0.0,33.21426,-87.54782
Auburn University at Montgomery,Montgomery,AL,36117,"Middle-Tier, Mixed-Aid Institutions",9436.0,20092.0,21873.0,0.4275,0.456,0.3568,0.0,32.37831,-86.14627
Auburn University,Auburn,AL,36849,"Elite, Low-Aid Institutions",12536.0,33944.0,34402.0,0.1226,0.2701,0.7921,0.0,32.59953,-85.48858
Birmingham-Southern College,Birmingham,AL,35254,"Elite, Low-Aid Institutions",22750.0,22750.0,38385.0,0.2256,0.6738,0.6418,0.0,33.51375,-86.85282
South University-Montgomery,Montgomery,AL,36116,"High-Risk, High-Aid Institutions",18238.0,18238.0,30704.0,0.6952,0.7016,0.1538,0.0,32.27312,-86.21765
Faulkner University,Montgomery,AL,36109,"High-Risk, High-Aid Institutions",23920.0,23920.0,36910.0,0.4381,0.5787,0.3766,0.0,32.38682,-86.24052
Herzing University-Birmingham,Birmingham,AL,35209,"High-Risk, High-Aid Institutions",13420.0,13420.0,27195.0,0.6368,0.7228,0.25,0.0,33.46507,-86.81107
Huntingdon College,Montgomery,AL,36106,"High-Risk, High-Aid Institutions",28650.0,28650.0,39686.0,0.3879,0.7081,0.4694,0.0,32.35264,-86.25793
Jacksonville State University,Jacksonville,AL,36265,"High-Risk, High-Aid Institutions",12426.0,22716.0,23422.0,0.4309,0.6941,0.5112,0.0,33.84659,-85.78662
University of West Alabama,Livingston,AL,35470,"High-Risk, High-Aid Institutions",10990.0,20090.0,22402.0,0.5401,0.6373,0.3804,0.0,32.56801,-88.09894
Miles College,Fairfield,AL,35064,"High-Risk, High-Aid Institutions",12714.0,12714.0,22900.0,0.7552,0.775,0.2566,0.0,33.47474,-86.91964
University of Mobile,Mobile,AL,36613,"Elite, Low-Aid Institutions",26120.0,26120.0,38731.0,0.2986,0.4287,0.5551,0.0,30.81175,-88.18176
University of Montevallo,Montevallo,AL,35115,"High-Risk, High-Aid Institutions",13710.0,26730.0,26233.0,0.3904,0.5207,0.4938,0.0,33.12133,-86.89605
University of North Alabama,Florence,AL,35632,"Middle-Tier, Mixed-Aid Institutions",11990.0,22190.0,22086.0,0.2411,0.2957,0.5403,0.0,34.80763,-87.68043
Oakwood University,Huntsville,AL,35896,"High-Risk, High-Aid Institutions",21838.0,21838.0,38592.0,0.4735,0.5754,0.4891,0.0,34.75318,-86.65213
Samford University,Birmingham,AL,35229,"Elite, Low-Aid Institutions",38144.0,38144.0,53934.0,0.1084,0.287,0.7988,0.0,33.46434,-86.79399
University of South Alabama,Mobile,AL,36688,"Middle-Tier, Mixed-Aid Institutions",9676.0,18652.0,22070.0,0.3713,0.4872,0.5257,0.0,30.69559,-88.18783
Spring Hill College,Mobile,AL,36608,"High-Risk, High-Aid Institutions",23270.0,23270.0,37172.0,0.3301,0.5123,0.5612,0.0,30.68115,-88.29593
Stillman College,Tuscaloosa,AL,35401,"High-Risk, High-Aid Institutions",11392.0,11392.0,23485.0,0.682,0.6912,0.4103,0.0,33.179,-87.61586
Talladega College,Talladega,AL,35160,"High-Risk, High-Aid Institutions",15650.0,15650.0,23441.0,0.7551,0.7778,0.6497,0.0,33.36898,-86.1005
Troy University,Troy,AL,36082,"High-Risk, High-Aid Institutions",9792.0,19584.0,21816.0,0.423,0.6617,0.4684,0.0,31.80271,-85.95514
Tuskegee University,Tuskegee,AL,36088,"High-Risk, High-Aid Institutions",23440.0,23440.0,41924.0,0.4767,0.6167,0.5709,0.0,32.41911,-85.718
University of Alaska Anchorage,Anchorage,AK,99508,"Middle-Tier, Mixed-Aid Institutions",7566.0,21693.0,21848.0,0.191,0.1488,0.2894,0.0,61.20145,-149.8146
Alaska Bible College,Palmer,AK,99645,"Middle-Tier, Mixed-Aid Institutions",10930.0,10930.0,22101.0,0.4872,0.1282,1.0,0.0,61.60763,-148.90394
University of Alaska Fairbanks,Fairbanks,AK,99775,"Middle-Tier, Mixed-Aid Institutions",8640.0,22752.0,21182.0,0.2237,0.1765,0.3197,0.0,64.85744,-147.83483
University of Alaska Southeast,Juneau,AK,99801,"Middle-Tier, Mixed-Aid Institutions",6960.0,21096.0,16796.0,0.1398,0.1404,0.3097,0.0,58.39785,-134.05472
Alaska Pacific University,Anchorage,AK,99508,"Middle-Tier, Mixed-Aid Institutions",20760.0,20760.0,34964.0,0.3442,0.4186,0.4688,0.0,61.20145,-149.8146
Charter College,Anchorage,AK,99508,"High-Risk, High-Aid Institutions",18678.0,18678.0,31188.0,0.5579,0.6745,0.5753,0.0,61.20145,-149.8146
Arizona State University Campus Immersion,Tempe,AZ,85287,"Middle-Tier, Mixed-Aid Institutions",12051.0,32193.0,28047.0,0.2966,0.284,0.6785,0.0,,
University of Arizona,Tucson,AZ,85721,"Middle-Tier, Mixed-Aid Institutions",13626.0,41095.0,28543.0,0.2624,0.2695,0.6589,0.0,32.23107,-110.94957
