INSTNM,CITY,STABBR,ZIP,CONTROL,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,NPT4_PUB,NPT4_PRIV,TUITIONFEE_PROG,PCTPELL,PCTFLOAN,DEBT_MDN,GRAD_DEBT_MDN_SUPP,ADM_RATE,SAT_AVG,AVGFACSAL,UGDS,C150_4,RET_FT4,CDR3,MD_EARN_WNE_P10
Alabama A & M University,Normal,AL,35762,1,10024.0,18634.0,23751.0,14559.0,,,0.6441,0.5859,16600,31000,0.6622,947.0,8610.0,5726.0,0.2874,0.6387,0.0,40628.0
University of Alabama at Birmingham,Birmingham,AL,35294-0110,1,8832.0,21864.0,27826.0,17727.0,,,0.3318,0.4097,15832,22300,0.8842,1251.0,12211.0,12118.0,0.626,0.8195,0.0,54501.0
Amridge University,Montgomery,AL,36117-3553,2,,,,,,,0.6842,0.7237,13385,32189,,,5109.0,226.0,0.4,,0.0,37621.0
University of Alabama in Huntsville,Huntsville,AL,35899,1,11770.0,24662.0,27098.0,19880.0,,,0.225,0.3391,13905,20705,0.7425,1321.0,10411.0,6650.0,0.6191,0.805,0.0,61767.0
Alabama State University,Montgomery,AL,36104-0271,1,11248.0,19576.0,22028.0,13889.0,,,0.7203,0.7776,17500,31000,0.9564,977.0,8015.0,3322.0,0.3018,0.6045,0.0,34502.0
The University of Alabama,Tuscaloosa,AL,35487-0100,1,11900.0,33200.0,32024.0,22150.0,,,0.1799,0.3358,17986,22750,0.7582,1287.0,11090.0,32323.0,0.7369,0.8609,0.0,59221.0
Central Alabama Community College,Alexander City,AL,35010,1,5040.0,8850.0,19815.0,14346.0,,,0.2853,0.1609,5500,9766,,,6773.0,1134.0,,,0.0,33506.0
Athens State University,Athens,AL,35611,1,,,,,,,0.4238,0.4099,14861,18051,,,9452.0,2407.0,,,0.0,50273.0
Auburn University at Montgomery,Montgomery,AL,36117-3596,1,9436.0,20092.0,21873.0,14596.0,,,0.4275,0.456,13119,25000,0.9263,1090.0,8823.0,2693.0,0.3568,0.658,0.0,44391.0
Auburn University,Auburn,AL,36849,1,12536.0,33944.0,34402.0,23897.0,,,0.1226,0.2701,17750,21000,0.5047,1318.0,11907.0,25732.0,0.7921,0.9319,0.0,65337.0
